City_ID,City,Cloudiness,Country,Date,Lat,Lng,Max Temp,Wind Speed,Humidity
0,General Roca,0,AR,2022-10-05 18:52:38,-39.0333,-67.5833,73.62,17.92,18
1,Savonlinna,100,FI,2022-10-05 18:52:39,61.8699,28.88,46.45,10.36,100
2,Port Elizabeth,75,ZA,2022-10-05 18:52:39,-33.918,25.5701,62.89,11.5,85
3,Chuy,81,UY,2022-10-05 18:51:11,-33.6971,-53.4616,65.62,14.67,59
4,Ushuaia,75,AR,2022-10-05 18:50:55,-54.8,-68.3,51.46,11.5,43
5,Ribeira Grande,75,PT,2022-10-05 18:52:40,38.5167,-28.7,70.2,6.91,88
6,Punta Arenas,75,CL,2022-10-05 18:50:39,-53.15,-70.9167,53.62,17.27,46
7,Hithadhoo,100,MV,2022-10-05 18:52:40,-0.6,73.0833,82.4,17.56,73
8,Cape Town,20,ZA,2022-10-05 18:49:57,-33.9258,18.4232,61.09,6.91,64
9,Seydi,0,TM,2022-10-05 18:52:41,39.4816,62.9137,57.85,11.18,21
10,Qaanaaq,74,GL,2022-10-05 18:52:42,77.484,-69.3632,8.35,7.56,74
11,Mahebourg,40,MU,2022-10-05 18:52:42,-20.4081,57.7,71.89,8.05,73
12,Weston,75,US,2022-10-05 18:52:42,26.1004,-80.3998,87.03,11.5,58
13,Hermanus,0,ZA,2022-10-05 18:52:43,-34.4187,19.2345,56.8,11.92,81
14,Punta Alta,100,AR,2022-10-05 18:52:44,-38.8759,-62.0736,60.04,7.07,65
15,Dikson,85,RU,2022-10-05 18:52:44,73.5069,80.5464,30.67,4.81,73
16,Bathsheba,75,BB,2022-10-05 18:52:45,13.2167,-59.5167,79.41,33.38,89
17,Rafaela,100,AR,2022-10-05 18:52:45,-31.2503,-61.4867,73.98,8.01,28
18,Jamestown,0,US,2022-10-05 18:51:33,42.097,-79.2353,68.05,8.05,45
19,Hofn,20,IS,2022-10-05 18:52:46,64.2539,-15.2082,46.42,10.36,49
20,Rovenki,13,UA,2022-10-05 18:52:46,48.0833,39.3776,50.68,4.81,67
21,Rocha,88,UY,2022-10-05 18:52:47,-34.4833,-54.3333,67.68,14.94,55
22,Port Alfred,90,ZA,2022-10-05 18:52:47,-33.5906,26.891,63.18,3.0,89
23,Opuwo,5,NA,2022-10-05 18:52:48,-18.0607,13.84,77.27,6.17,22
24,Lethem,75,GY,2022-10-05 18:52:48,3.3803,-59.7968,78.85,9.22,94
25,Coruripe,11,BR,2022-10-05 18:52:49,-10.1256,-36.1756,81.21,9.13,67
26,Victoria,26,HK,2022-10-05 18:49:47,22.2855,114.1577,83.32,8.01,78
27,Talnakh,87,RU,2022-10-05 18:52:49,69.4865,88.3972,31.21,3.69,94
28,Tasiilaq,77,GL,2022-10-05 18:52:50,65.6145,-37.6368,22.71,4.65,65
29,Taltal,8,CL,2022-10-05 18:52:50,-25.4,-70.4833,60.82,3.85,59
30,Dhidhdhoo,100,MV,2022-10-05 18:52:51,6.8833,73.1,81.03,17.18,79
31,Maceio,40,BR,2022-10-05 18:52:51,-9.6658,-35.7353,85.44,12.66,61
